cbsatitle,gdp,year
"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",47636.6,2013
"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",18193.5,2013
"Panama City, FL (Metropolitan Statistical Area)",7604.7,2013
"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",3898.3,2013
"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",15844.1,2013
"Peoria, IL (Metropolitan Statistical Area)",19767.6,2013
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",389787.5,2013
"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",199870.6,2013
"Pine Bluff, AR (Metropolitan Statistical Area)",3173.1,2013
"Pittsburgh, PA (Metropolitan Statistical Area)",126823.6,2013
"Pittsfield, MA (Metropolitan Statistical Area)",6195.7,2013
"Pocatello, ID (Metropolitan Statistical Area)",2454.3,2013
"Portland-South Portland, ME (Metropolitan Statistical Area)",27119.9,2013
"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",143129.9,2013
"Port St. Lucie, FL (Metropolitan Statistical Area)",11618.7,2013
"Prescott, AZ (Metropolitan Statistical Area)",5024.4,2013
"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",72338.5,2013
"Provo-Orem, UT (Metropolitan Statistical Area)",17947.8,2013
"Pueblo, CO (Metropolitan Statistical Area)",4416.2,2013
"Punta Gorda, FL (Metropolitan Statistical Area)",3301.1,2013
"Racine, WI (Metropolitan Statistical Area)",7534.7,2013
"Raleigh, NC (Metropolitan Statistical Area)",64533.8,2013
"Rapid City, SD (Metropolitan Statistical Area)",5916.6,2013
"Reading, PA (Metropolitan Statistical Area)",16533.4,2013
"Redding, CA (Metropolitan Statistical Area)",5259.3,2013
"Reno, NV (Metropolitan Statistical Area)",20804.1,2013
"Richmond, VA (Metropolitan Statistical Area)",69830.7,2013
"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",127771,2013
"Roanoke, VA (Metropolitan Statistical Area)",14089.6,2013
"Rochester, MN (Metropolitan Statistical Area)",10658.2,2013
"Rochester, NY (Metropolitan Statistical Area)",53140.9,2013
"Rockford, IL (Metropolitan Statistical Area)",13722.6,2013
"Rocky Mount, NC (Metropolitan Statistical Area)",6032.7,2013
"Rome, GA (Metropolitan Statistical Area)",3496.5,2013
"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",104463.4,2013
"Saginaw, MI (Metropolitan Statistical Area)",7644.1,2013
"St. Cloud, MN (Metropolitan Statistical Area)",8539.3,2013
"St. George, UT (Metropolitan Statistical Area)",3955.2,2013
"St. Joseph, MO-KS (Metropolitan Statistical Area)",5609.6,2013
"St. Louis, MO-IL (Metropolitan Statistical Area)",146335.6,2013
"Salem, OR (Metropolitan Statistical Area)",13132.2,2013
"Salinas, CA (Metropolitan Statistical Area)",20559.5,2013
"Salisbury, MD-DE (Metropolitan Statistical Area)",15130,2013
"Salt Lake City, UT (Metropolitan Statistical Area)",71636.4,2013
"San Angelo, TX (Metropolitan Statistical Area)",4828.4,2013
"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",101348.2,2013
"San Diego-Carlsbad, CA (Metropolitan Statistical Area)",198311.6,2013
"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",385451.5,2013
"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",193715.6,2013
"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)",13094.5,2013
"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",11710.6,2013
"Santa Fe, NM (Metropolitan Statistical Area)",6974,2013
"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",22908.1,2013
"Santa Rosa, CA (Metropolitan Statistical Area)",22890,2013
"Savannah, GA (Metropolitan Statistical Area)",15304.1,2013
"Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)",21871.4,2013
"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",280291,2013
"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",4417.5,2013
"Sebring, FL (Metropolitan Statistical Area)",1975.4,2013
"Sheboygan, WI (Metropolitan Statistical Area)",5513.5,2013
"Sherman-Denison, TX (Metropolitan Statistical Area)",3977.4,2013
"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",21696.1,2013
"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",3968.3,2013
"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",8695.6,2013
"Sioux Falls, SD (Metropolitan Statistical Area)",15919.1,2013
"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",12407.6,2013
"Spartanburg, SC (Metropolitan Statistical Area)",12547,2013
