cbsatitle,2013,2014,2015
"Joplin, MO (Metropolitan Statistical Area)",6743.6,6836.9,7227.7
"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",7658,8005.4,8520.2
"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",14003.3,14450.2,15714.3
"Kankakee, IL (Metropolitan Statistical Area)",3742.9,3827.6,4181.3
"Kansas City, MO-KS (Metropolitan Statistical Area)",115710.9,120757.8,125765.1
"Kennewick-Richland, WA (Metropolitan Statistical Area)",11502.8,11714.3,12642.4
"Killeen-Temple, TX (Metropolitan Statistical Area)",15980.5,16104,16883.1
"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",12062.8,11601.1,11686.5
"Kingston, NY (Metropolitan Statistical Area)",5610.4,5665.5,5917.9
"Knoxville, TN (Metropolitan Statistical Area)",34875.4,36366.4,38343.4
"Kokomo, IN (Metropolitan Statistical Area)",4078.4,4288.9,4612.4
"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",6458.3,6648.1,6981
"Lafayette, LA (Metropolitan Statistical Area)",26919.8,26426,23776.3
"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",9092.5,9429.2,9741.1
"Lake Charles, LA (Metropolitan Statistical Area)",13497.4,15053.4,15784.3
"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",3879.4,4013.1,4055
"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",18448.7,18592.1,19611.2
"Lancaster, PA (Metropolitan Statistical Area)",24026.3,25381.4,27577
"Lansing-East Lansing, MI (Metropolitan Statistical Area)",19315,20008.9,20996.9
"Laredo, TX (Metropolitan Statistical Area)",7775.3,7988.8,8014.7
"Las Cruces, NM (Metropolitan Statistical Area)",6291.7,6520.5,6788.5
"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",90426.4,93742.4,103733.8
"Lawrence, KS (Metropolitan Statistical Area)",3895.3,3997.1,4248.8
"Lawton, OK (Metropolitan Statistical Area)",4774.6,4862.5,5063.4
"Lebanon, PA (Metropolitan Statistical Area)",4612.2,4662,4835.5
"Lewiston, ID-WA (Metropolitan Statistical Area)",2171.5,2178,2312.4
"Lewiston-Auburn, ME (Metropolitan Statistical Area)",3702.2,3848.9,3946.6
"Lexington-Fayette, KY (Metropolitan Statistical Area)",25241.4,26014.3,27703.5
"Lima, OH (Metropolitan Statistical Area)",5576.4,6052.6,5493
"Lincoln, NE (Metropolitan Statistical Area)",17331.6,18173.9,19075.8
"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",35050.3,36156,37283.6
"Logan, UT-ID (Metropolitan Statistical Area)",4204.7,4443.5,4823.7
"Longview, TX (Metropolitan Statistical Area)",11292.4,11622,10545
"Longview, WA (Metropolitan Statistical Area)",3800.5,3909.9,4023.3
"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",852034.2,901979.9,967100.1
"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",62909.6,68316.1,71698.7
"Lubbock, TX (Metropolitan Statistical Area)",12254.4,12393,12935
"Lynchburg, VA (Metropolitan Statistical Area)",8881.8,9057,9287.6
"Macon-Bibb County, GA (Metropolitan Statistical Area)",8641.7,9188.5,9388.4
"Madera, CA (Metropolitan Statistical Area)",4896.3,5244.3,5261.8
"Madison, WI (Metropolitan Statistical Area)",40557.7,41460.2,45660.1
"Manchester-Nashua, NH (Metropolitan Statistical Area)",23504.1,24315.6,26135.2
"Manhattan, KS (Metropolitan Statistical Area)",3204.7,3291.4,3483.7
"Mankato-North Mankato, MN (Metropolitan Statistical Area)",4737.6,5022.8,5049.2
"Mansfield, OH (Metropolitan Statistical Area)",4120.4,4285.7,4296.6
"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",17593.3,18485.9,19101.5
